title,description,place,tags,frequency,heurPrincip,severity,evaluator,ofProject
Nick de Firmian,nicholas ernest nick de firmian born july 26 1957 in fresno california is a chess grandmaster and threetime us chess champion winning in 1987 with joel benjamin 1995 and 1998 he also tied for first in 2002 but larry christiansen won the playoff he is also a chess writer most famous for his work in writing the 13th 14th and 15th editions of the important chess opening treatise modern chess openingshe has represented the united states at several interzonals and played on the united states olympiad teams of 1980 1984 1986 1988 1990 1996 1998 and 2000 de firmian earned the international master title in 1979 and the gm title in 1985 he currently resides in denmark with his wife christine who is a chess expert and past member of the danish womens chess teamhe won the 1983 canadian open chess championship in 1986 he won the world open and the first prize of 21000 at that time a record for a swiss system tournament de firmian was a founding member of prochess a grandmaster advocacy group dedicated to promoting chess in the united states he has a degree in physics from the university of california berkeleygrandmaster de firmian is a noted expert on the chess openings and in 1990 he revised modern chess openings 13th edition mco13 in 1999 he wrote the 14th edition of modern chess openings mco14 which along with nunns chess openings nco is considered an outstanding single volume opening reference in english he also helped prepare the chess opening book for the ibm deep blue team for its successful 1997 match with garry kasparovin 2006 he revised and expanded the classic 1921 book chess fundamentals by jos capablanca the edition was harshly criticized by chess historian edward winter who claimed that de firmian destroyed the book by changing capablancas writing and removing games from previous editions to include new games not played by capablanca de firmian also wrote the 15th edition of mco which was published in april 2008,Nick de Firmian,Nick de Firmian,2,2,4,user6,p2
George Solomon,george solomon is a former sports editor and columnist at the washington post and was the first ombudsman for espnsolomon is a 1963 graduate of the university of florida he began working at the post in 1972 he served as assistant managing editor for sports from 1975 to 2003 from 2003 to his retirement he was an assistant editor for the paper he continues writing a weekly sunday column for the paperas espns ombudsman solomon has been open about several potential conflicts of interest he may have his son aaron solomon is a producer for espns panel show around the horn pardon the interruption cohosts michael wilbon and tony kornheiser world series of poker announcer norman chad and reporters rachel nichols and ric bucher all were coworkers of solomons during his time at the postas espns ombudsman solomon has notably criticized the network for airing bonds on bonds a reality series on barry bonds in which the controversial baseball player was able to exercise some creative control for devoting too much coverage to the actions of controversial wide receiver terrell owens for not making clear the difference between commentary and reporting on their shows and for generally having too much sensationalism and not enough journalism in their storieshe has also defended the networks choice of games to broadcast and their coverage of the 2006 fifa world cup which was criticized by many soccer fanssolomon stepped down from this position at the end of his contract on april 1 2007 le anne schreiber a former sports editor of the new york times became the new ombudsman for espn and will serve a fixed twoyear termhe edited shirley povichs book all those mornings at the postbeginning in 2003 solomon has taught sports journalism classes at the university of maryland college parkalso in 2003 solomon was honored by the associated press sports editors who awarded him the red smith award which is americas most prestigious sports writing honor,George Solomon,George Solomon,3,7,2,user1,p2
Elad Koren,elad koren is a former israeli footballer who played in maccabi netanya maccabi haifa maccabi ironi ashdod and maccabi herzliyain 1985 he made his debut in the senior side of maccabi netanya while only 16 years oldafter retiring from his professional career as a football player elad turn into the hightech industry and claimed up the corporate ladder where he is now acting as a vice president leading complex projects in the telecommunication industryin addition elad has been perfecting his knowledge and skills in photography becoming a seasoned nature and wildlife photographer elad manages through his personal journey of selfexploration to bring his photos to life by capturing the emotional aspect in each frame he truly believes that nature and wildlife photography are all about being in the moment and conveying it in a truthful yet alluring manner he uses his camera like a painter uses his brush and by doing so he is able to portray the unique and extraordinary nature of his subjects elad photographs animal life landscapes and people in their natural habitats and he does it all with great splendor by using exceptional composition natural light and precisionhis photos can be seen in galleries around the world paris barcelona milan israel and more his work is being sold to private collectors interior designers and can be seen decorating highclass restaurants law offices and private homes visit his homepage to see and purchase is artwork elad koren photography,Elad Koren,Elad Koren,3,7,3, user3,p2
Anton Filippov,anton filippov born 6 december 1986 is an uzbekistani chess grandmaster 2008in 2007 he tied for 1st3rd with vladimir egin and timur gareev in the uzbekistani chess championship in 2008 he won the first kuala lumpur open championship and tied for 48th with tamaz gelashvili constantin lupulescu nidjat mamedov and alexander zubarev in the open romgaz tournament in bucharest 2008 in 2009 he won the fourth president gloria macapagal arroyo cup in manila tied for second with shakhriyar mamedyarov in the fourth kolkata open tied for 3rd8th with vadim malakhatko elshan moradiabadi merab gagunashvili alexander shabalov and niaz murshed in the ravana challenge tournament in colombo in 2010 he tied for 3rd6th with ding liren zhou jianchao and merab gagunashvili in the first florencio campomanes memorial in manila and came first in the first safin memorial in tashkent in 2011 he tied for 1st3rd with tigran l petrosian and marat dzhumaev in the georgy agzamov memorial in tashkentfilippov played for uzbekistan in the chess olympiads of 2004 2006 2010 and 2012 he qualified for the chess world cup 2009 and was knocked out by surya shekhar ganguly in the first round filippov recorded his career best performance of 2820 at the istanbul olympiad in 2012 in the march 2013 fide list he has an elo rating of 2652 making him uzbekistans number two player and number 97 in the world,Anton Filippov,Anton Filippov,5,1,3,user4,p2
Ed Belfour,edward john belfour born april 21 1965 is a canadian former professional ice hockey goaltenderbelfour was born in carman manitoba and grew up playing hockey he played junior hockey for the winkler flyers before going to the university of north dakota where he helped the school win the ncaa championship in the 198687 season the following year belfour signed as a free agent with the chicago blackhawks after not being picked in the draft alternating time between them and the saginaw hawks of the international hockey league many regard belfour as an elite goaltender and one of the best of alltime his 484 wins rank 3rd alltime among nhl goaltenders his son dayn is also a goaltender currently playing for the university of nebraskaomaha belfour was inducted into the hockey hall of fame in the 2011 class his first year of eligibility in addition belfour is one of only two players to have won an ncaa championship an olympic gold medal and a stanley cup the other such player is neal brotenhis characteristic face mask earned him the sobriquet eddie the eagle and some of his quirks and office antics earned him the nickname crazy eddieafter wearing 30 for his tenure with the blackhawks belfour switched to his more memorable 20 while a member of the san jose sharks as a tribute to vladislav tretiak his goaltending coach and mentor from the blackhawks he would wear this for the rest of his playing career,Ed Belfour,Ed Belfour,1,4,4,user5,p2
Tad Richards,james tad richards born march 31 1940 is an american writer and visual artist he is also artistic director and former president of opus 40 the sculpture park in saugerties new yorkrichards was born in washington dc in 1940 in 1943 his mother married the sculptor harvey fite who created opus 40 from 1939 to 1976 he attended bard college where fite was on the faculty before earning an mfa from the iowa writers workshop at iowa he studied with paul engle donald justice and philip roth he has taught literature composition and creative writing at several institutions including winona state university the state university of new york at new paltz and marist collegerichards began publishing in 1964 with three poems in poetry magazine during the 1960s he was a regular contributor to the realist paul krassners satirical magazine his first novel cherokee bill a collaboration with his brother jonathan richards was published by dell books in 1974 since then he has published 18 novels including a novelization of the mel brooks movie blazing saddles 1974 his most recent novel is nick and jake arcade publishing nick and jake has also been produced as an audio play starring alan arkin tom conti and ali macgraw his screenwriting credits include the cheerleaders 1973 a sexploitation film characteristic of the erarichards has written 16 works of nonfiction struggle and lose struggle and win the story of the united mine workers written with elizabeth levy was listed by the new york times as one of the best young adult books of 1977 several of his books on finance with neale godfrey have been bestsellers he has also written extensively on music and poetry additionally several of his songs have been recorded by orleans the john hall band and fred koller,Tad Richards,Tad Richards,4,1,5,user4,p2
Muhammad Aladdin,muhammad aladdin also known as alaa eddin arabic is an egyptian novelist short story writer and script writerhis first collection of short stories was published in 2003 and he is the author of five novelsthe gospel according to adam the twentysecond day the idol novel the foot novel and a welltrained strayand three short story collectionsthe other shore shortstories collection the secret life of citizen m and young lover new loveras one of his generations noted young writers in both egypt and the arab countries aladdin has gained acclamation for his first novel published the gospel according to adam arabic in january 2006 the work has been hailed by writers like bahaa taher and sonallah ibrahim to be among the best of a promising new crop that novel breaks the conventional format of the novel consisting as it does of a single 60pagelong paragraph that is written in a stream of consciousness style a reviewer for alahrams literary page on may 10 2006 stated that the gospel according to adam reflects a social reality that has lost all certainties in his book the arab novel and the quest for renovation published by dubi althaqafia magazine in may 2011 the famous moroccan writer and critic mohammed berrada sites it as one of 5 novels has renovated the arab novel the egyptian writer ibrahim farghali wrote about it in the famous lebanese newspaper annahar that the gospel according to adam is an experimental and substantial jump in narration style in the modern egyptian novelshe was chosen as one of the most important egyptian writers in the new millennium by the egyptian magazine akhbar aladab in 2011 and one of the six egyptian writers you dont know but you should as the writer pauls toutonghi said in the millionscomin may 2013 aladdin give a keynote speech in the name of the young egyptian writers in the first convection for egyptian writers against the muslim brotherhood regime ruling egypt back then asserting on dissembling egypts ministry of culture in order to establish a new republic however aladdin spoke openly against the new regime in egypt after 2013 egyptian coup dtat and refused to participate in the second conviction saying to arablit blog in october 23 2013 that they would use us as makeup for the same ugly facealaddin wrote for the mtvs rebel music on ramy essam as the revolution singer in november 2013,Muhammad Aladdin,Muhammad Aladdin,4,2,2,user1,p2
Graham Perrett,graham douglas perrett born 5 january 1966 is an australian labor politician and a member of the australian house of representatives in the seat of moreton perrett has a diploma of teaching and a bachelor of laws and has previously worked in the queensland government under peter beattieperrett was born in st george in queensland in 1966 seventh child in a family of ten children and received a diploma of teaching in 1985 he taught for three years in schools on the darling downs and far north queensland then another eight years in brisbanein 1993 he completed a bachelor of arts with honours through the university of queensland his honours thesis was a study of the autobiography of malcolm x perrett later received a bachelor of laws from queensland university of technology in 1999 he worked working as a solicitor of the supreme court of queensland from 1999 to 2005 after working with the queensland independent education union as an organiser he was given a role as senior policy adviser for then premier of queensland peter beattie in 2005 and later for the minister for health stephen robertson perrett previously ran unsuccessfully for the federal seat of moreton in 2004perrett has represented the seat of moreton queensland since the 2007 australian federal election where he ended gary hardgraves 11year term in office with a 76point swing perrett described the victory as surprising stating in my wildest dreams i certainly didnt expect that the seat would be decided as early as it was perrett also claimed the victory over a former multicultural affairs minister could be put down to the fact that people are ready for hope and arent prepared to stick with the tired old fear factor of john howarda major issue in the 2007 moreton campaign was the australian labor party on behalf of perrett branding perretts rival gary hardgrave a racist after the standing member said that moreton was being exhausted by the influx of african refugees perrett campaigned primarily on issues relating to health and education in the lead up to the election whilst hardgrave focused primarily on roads according to a radio interviewgraham perrett published his first novel the twelfth fish 1 in october 2008 the sex scenes in the twelfth fish while not a major part of the story and rather tame by modern standards tititlated the political class and the media in the leadup to the 2010 federal election a christian group put out a flyer calling perrett the member for porn perrett won his seat in the 2010 election with a margin of 11 points and went on to publish a sequel in september 2013 the big figin his teaching days perret played in a band once i killed a gopher with a stick and remains a keen fan of music and literature he enjoys writing and bushwalking,Graham Perrett,Graham Perrett,1,8,2,user1,p2
Allan Bresland,allan bresland born 16 august 1945 dunamanagh county tyrone is a unionist politician in northern ireland he served in the northern ireland assembly as a democratic unionist party dup member for west tyrone from 200711he was educated at ballylaw primary school is a retired lorry driver with the water service and was first elected to strabane district council in 1993 representing the glenelly area he is a member of various bodies including the drainage council of northern ireland and is current chair of the western group environmental health committee he is also chairman of north west passage which promotes tourism in the area and is a member of the district policing partnership in strabaneallan bresland lives in sion mills and is married with four children and four grandchildren he is a member of the select vestry of the church of the good shepherd sion mills an active member of the orange order and a founder member of north tyrone credit union he served as a parttime member of the ulster defence regiment for 15 yearshe is among the lowest expenses recipients in the northern ireland assembly at 2185 from may to october 2007 while others were spending up to 1000 per weekregarding the death of a girl in a horseriding accident strabane dup councillor allan bresland said it was a freak accident,Allan Bresland,Allan Bresland,5,7,1, user3,p2
Wendy Perron,wendy perron is a dancer choreographer and teacher who was the editor in chief of dance magazine from 2004 to 2013 she is the author of through the eyes of a dancer selected writings published by wesleyan university press in november 2013perron graduated from bennington college in 1969 she began her career in new york as a freelance dancerchoreographer at dance theater workshop she danced with the trisha brown dance company 1975 to 1978 and studied briefly with twyla tharp perron later noted that from trisha and twyla i learned you can use any kind of strange jagged weird movements and make a piece flowperron has taught dance and related studies at bennington college princeton university nyu rutgers and city college of new york she also led the wendy perron dance company from 1983 to 1994 and was a senior fellow of the vera list center for art and politics at the new school from 1992 to 94 she was associate director of jacobs pillow dance festival she earned a masters degree from empire state college in 2000perron has written for the new york times the village voice ballet review and the dance research journal she joined the editorial staff of dance magazine in 2000 and became its editorinchief in 2004 in 2013 she became editor at largein april 2011 she was one of three artists inducted into new york foundation for the arts inaugural hall of fame,Wendy Perron,Wendy Perron,3,3,1,user6,p2
Robert W. Edmondson,robert walter edmondson is the second metropolitan archbishop of the anglolutheran catholic church alccedmondson was elected metropolitan archbishop by the holy synod of the alcc on december 12 2011 and replaces the founder and first metropolitan archbishop irl a gladfelter prior to his election he served as the alccs vicar general chief of staff in the office of the metropolitan archbishop director office for the promotion of christian unity archbishop of the alccs archdiocese for the military services and veterans affairs secretary general of the augustana catholic communion and archbishop ordinary archdiocese of pittsburghohio valley he is a lifeprofessed augustinian priest in the alccs priestly society of saint augustine and chairman of the board of governors of st ambrose college catholic theological consortiumedmondson is a graduate of norwich university the military college of vermont bloomfield college drew university theological school and louisville presbyterian theological seminary holding the degrees of bachelor of arts ba master of divinity mdiv master of sacred theology stm doctor of ministry dmin and doctor of theology thd he also has received the honorary degrees of doctor of divinity and doctor of humane lettersedmondson has had a long and distinguished career in the united states army he was commissioned a second lieutenant us army corps of engineers in 1968 was the aide de camp to the commanding general of the us army corps of engineers from 1968 to 1970 and was appointed to the us army chaplain corps as a chaplain in 1975 as an army chaplain he was unit chaplain of the year in 1985 he served as staff chaplain with the 82nd airborne division xviii airborne corps served as a staff officer headquarters us army reserve officers corps and at nato headquarters edmondson served as an exchange officer to the west german defense ministry and the royal belgium army he has served in the department of the us army general staff in the united states department of defense and served as a military advisor to the president of the united states edmondson was promoted to the rank of brigadier general in 1997 and is now a lieutenant general corps of engineers usar,Robert W. Edmondson,Robert W. Edmondson,1,4,2,user6,p2
Sandar Win,khin sandar win also spelt khin sanda win burmese born 1952 in rangoon burma is the daughter of deceased burmese dictator ne win educated at the methodist english high school in yangon now basic education high school no 1 dagon she graduated from high school with the highest matriculation scores in all of burma according to newspaper accounts she then attended institute of medicine 1 rangoon to become a doctor working as a gynaecologistconsidered ne wins favourite daughter sandar win is believed to have been influential throughout the 26 year reign of her father often acting as a mediator between ne win and the bspp burma socialist programme party as ne win grew older and his health deteriorated she took on an increasingly important role sandar win was a key figure in suppressing the 1988 uprisings during which thousands of burmese protested demanding democratic controlsandar win was also influential in the burma socialist programme partys decision to reemphasize english language education after she failed to be admitted into a medical school in england because of poor english skills english was reintroduced as a medium of instruction in secondary and higher educationafter 1988 she left the militarys medical services and became a businesswoman she presided over the ne win clan as it developed a significant business empire encompassing hotels medical services telecommunications and a popular yangon nightclubsandar win was placed under house arrest in her lakeside house on university avenue road on the banks of inya lake yangon in 2002 sandar wins husband aye zaw win along with kyaw ne win aye ne win zwei ne win and other family members and the family astrologer were convicted of plotting a coup in the late 1990s and were imprisoned in insein after 6 years of house arrest she was set released as of 15 december 2008,Sandar Win,Sandar Win,3,5,2, user3,p2
Joseph Hone,joseph hone born february 25 1937 is an irish writer of the spy novel his most famous novels featured a british spy called peter marlow the first of the series was the private sector 1971 set in the six day war marlows story continues in the sixth directorate 1975 the flowers of the forest aka the oxford gambit 1980 and the valley of the fox 1982 during his heyday in the 1970s hone was favourably compared with writers such as len deighton eric ambler and john le carr whilst some spy novels such as those of le carr are often set mainly inside the offices of the spy department and attract praise for the depth of their characterization and plotting others such as the james bond series are set in the field and provide explosive action joseph hones stories by contrast have a foot in both camps and he has become renowned amongst aficionados of the spy genre for both the quality of his writing and the excitement of his plots he released his memoir wicked little joe in 2009hone holds degrees from kilkenny college in kilkenny and st columbas college in dublin hone has had a varied career including working as an assistant in a secondhand bookshop in london as a teacher at drogheda grammar school in ireland and with the egyptian ministry of education in cairo heliopolis and suez he has also worked for a publishing firm and in radio and television in 1960 he became cofounder of envoy productions dublin and has coproduced a number of plays and musicals at the theatre royal stratford east london his wide experience in radio and television resulted in an appointment as radio and television officer with the united nations secretariat in new york in 1968 and for the next two years he travelled far and wide making docuentary programmes based on trips to ethiopia kenya uganda tanzania malawi india pakistan and the far east out of these experiences came the dancing waiters 1975 he produced a number of radio programmes for un radio later broadcast by the bbc joseph hone held a variety of positions in radio and television including radio and then television critic for the listener 19711980 his background also includes an overseas posting with the british broadcasting corporation bbc in his first novel the private sector 1971 marlow a teacher in cairo finds himself becoming a spy for the british in part this work was a byproduct of hones experiences in 195758 when he was a teacher in europe he states that he has not been associated with intelligence work but that he has worked with and met such people especially while i was a teacher in egypt and in new york with the un hones second book the sixth directorate 1975 aroused a lot of attention this book continues marlows story after his release from durham jail where he has been sent on a frameup by his own department and it deals with his impersonation of an englishman a captured kgb agent living in london his subsequent adventures as a fallguy agent in the un in new york and his eventual encounter with the kgb in cheltenhamsince 2000 hone has been teaching creative writing as well as a core course which looks at the history and culture of various countries including india and china he teaches at wroxton college in oxfordshire wroxton college is part of fairleigh dickinson university based in new jersey usa for a story on josephs connection to pamela travers the creator of mary poppins listen to an interview with joe duffy on irish national radio rte1 which went out live on monday 2nd december 2013 the interview starts about 13rd of the way into the program in particular he tells of his brother camillus who was adopted by pamela camillus was one of twin boys living in kiliney dublin when he was adopted hone also wrote an article about camillus and pl travers which appeared in the times 2 section of the times newspaper friday 29th november 2013 hones latest novel is goodbye againhone has reviewed books for the new york times book review the spectator the new statesman and the daily telegraph,Joseph Hone,Joseph Hone,3,6,3,user1,p2
Nimi Barigha-Amange,nimi barighaamange born 10 may 1952 was elected senator for the bayelsa east constituency of bayelsa state nigeria taking office on 29 may 2007 he is a member of the peoples democratic party pdpbarighaamange earned a hnd petroleum engineering 1981 llb 1993 and bl 1995he became head of the lands and claims department at elf petroleum nigeria chairman of board of the niger delta basin development authority and chairman of the board of the federal medical centreafter taking his senate seat in june 2007 barighaamange was appointed to committees on science technology national identity card population interior affairs and capital marketsin a midterm evaluation of senators in may 2009 thisday noted that he had sponsored bills on technology innovation agency establishment interception monitoring of communication and civil society organisation he had also sponsored and cosponsored five motionsin an article in the nigerian tribune written in january 2010 barighaamange called for full deregulation of the downstream petroleum industry and licensing of small and medium sized refineries which would help eliminate corruption and reduce domestic pricesreduction of unemployment by employing 55 people in his farm projectrural and community development in areas of scholarship free mobile boat clinic micro businesses extended loans to youths and women cooperative societies,Nimi Barigha-Amange,Nimi Barigha-Amange,5,1,3,user4,p2
Sam Bowen,for the fictional character with the same name see mark finnsamuel thomas bowen born september 18 1952 is a former outfielder in major league baseball who played between 1977 and 1980 for the boston red sox he batted and threw righthanded in a threeseason career bowen posted a 136 batting average 3for22 with one home run one rbi three runs and one stolen base in 16 games playedwith very few opportunities at the major league level bowen was not able to fulfill his real potential after a solid career at valdosta state university he was drafted four times cleveland montreal atlanta california prior to signing with the boston red sox in 1974 and is one of very few players to be drafted five times he spent three seasons in the boston minor league system before earning a promotion to the red sox in 1977 after hitting 265 with 15 home runs and 49 rbi for triplea pawtucket red sox he started 1978 in triplea and was recalled during the midseason to replace departed bernie carbo after that he led pawtucket with 28 home runs and 75 rbi in 1979 and played his last professional season in 1980 while dividing his playing time between pawtucket and boston bowen was inducted into the vsu hall of fame in 1997 and also in march 2013 was inducted into the glynn county hall of fame in his hometown of brunswick georgia,Sam Bowen,Sam Bowen,1,9,1, user3,p2
Ali %C4%B0smet %C3%96zt%C3%BCrk,ali smet ztrk born 23 may 1964 is a turkish professional display pilot an aerobatic aircraft designer and an aviation businessman he is the first civilian to be recognised as a professional aerobatic pilot in the countryhe flies in international air shows in his custom designed and manufactured worldclass performance aerobatic aircraft called turkish mor meneke purple violetali smet ztrk has been admired worldwide both for his accomplishments in the air as an air show pilot and on the ground for his technical talent to build aerobatics aircraft he is best known by air show fans and enthusiasts for his extremely complex and technical manoeuvres he was also the first professional civil pilot to perform an aerobatics display over the bosphorusbetween 2004 and 2008 ali smet ztrk performed in more than 80 international air shows performing more than 559 displays in 19 different countries he has performed before nearly 15 million spectatorshis enthusiasm for aviation has grown since he took his first solo flight as an aviation enthusiast he puts a strong emphasis on recognition and appreciation of aerobatics to that end he strives to be a positive role model and inspiration to young people in aviation with a career devoted to furthering aviation he actively participates in activities to raise public awareness of private aviation in turkey he takes part in fundraising activities and arranges aerobatic experience flights to share the spirit of aviation with the community as wellali smet ztrk currently resides in istanbul turkey with his two daughters and works fulltime both domestically and abroad as a professional display pilot an aircraft designer an aerobatic flight instructor and provides consultancy in the aviation sector he is always ready for new adventures in the air shows worldwide and is always looking for invitations to share his experiences,Ali %C4%B0smet %C3%96zt%C3%BCrk,Ali %C4%B0smet %C3%96zt%C3%BCrk,4,4,3,user4,p2
Em%C3%A9rito Bono Mart%C3%ADnez,emrito bono martnez catalan emerit bono martinez sagunto spain 1940 is a spanish academic and politician for the spanish socialist workers party psoe although he previously belonged to the communist party of spain pcemarried with three children bono graduated in economic science at the university of barcelona he joined the pce in 1966 while at the same time maintaining his link with the roman catholic church during the dictatorship of francisco franco he worked for the restoration of democracy in his native valencian communityat the 1977 general election he headed the pce list in valencia province and was elected to the spanish congress of deputies he was reelected in the subsequent election in 1979from april to june 1978 he was minister for transport and social welfare in the preautonomous government of the valencian community which was responsible for local affairs in the valencian region prior to full devolution of powers he also sat on valencia city council from 1983 to 1987from 1984 to 1986 he was vicerector of the university of valencia where he lectured in politics and economicsin 1989 he left the pce and joined the pce and in september of that year he was named minister for public administration in the valencia region by the valencian president joan lerma he held that position until july 1993 when he became environment minister in valencia region retaining that position until the psoe defeat in the 1995 valencian electionshis son ferrn bono was elected for valencia as a psoe member in the 2004 general election and 2008 general elections,Em%C3%A9rito Bono Mart%C3%ADnez,Em%C3%A9rito Bono Mart%C3%ADnez,1,6,3,user2,p2
Calypso Rose,calypso rose born 27 april 1940 bethel village tobago is a calypsonian she began writing songs at the age of 15 turned professional in 1964 and has written over 800 songs and recorded more than 20 albumsborn mccartha linda sandylewis her father was a leader with the spiritual shouter baptists her family was very traditional and opposed her singing in carnival tents she composed her first calypso in 1955 after seeing a man steal the spectacles off of a ladys face in the croise san juan in the song she advises tobagonians to stay at home because trinidad was no place for them originally she used crusoe kid as her stage name the name calypso rose was given to her by the spoiler and tent members piggy and spiketravelling outside of trinidad and tobago for the first time in 1963 rose covered the islands from grenada to st thomas she won the calypso king contest and the roadmarch in st thomas with her first recording cooperation in 1966 she wrote the song fire in me wire the first calypso ever sung two years running at the trinidad carnival in 1966 and 1967in the mid1970s as well as dominating the race for the title of calypso queen a title she won five years running from 197276 rose had major hits with constable rose and do dem back which became her first gold disc she was the first female to win the trinidad road march competition in 1977 with her song gimme more tempo the following year she took the title again with come leh we jam that same year she won the competition the first time a woman had received the award the competitions title was changed to calypso monarch in her honourrose has lived in new york since 1983 in october 1996 she underwent surgery for breast cancer and in 1998 undertook therapy for a malignancy in her stomach,Calypso Rose,Calypso Rose,4,7,3,user1,p2
%C3%85ke Jonsson,ke jonsson born october 5 1942 in hammerdal is a swedish former motocross racer he was also a very skilled speed skater and belonged to the swedish top junior elite before his racing career took off jonsson was one of the top riders in the motocross world championships during the late 1960s and early 1970sjonsson had three big chances to win the world championship title 1968 1970 and maybe his best chance was in 1971jonsson began his riding career in sweden riding for the husqvarna factory but found it difficult to get enough of free spareparts riding behind world champions bengt aberg and torsten hallman nevertheless he finished in third place in the 1968 500cc world championship in 1969 he was hired to ride for the maico factory team he rode a maico to finish once again in third place in the 1970 500cc world championship later that season he won the interam series in america1971 would be jonssons best year going into the final race of the 500cc world championship jonsson held a slight points lead over suzukis roger de coster while leading the race his motorcycles spark plug came loose allowing decoster to pass him for the victory and the world championship a few weeks later he took a slight revenge by winning both motos in the motocross des nations held in vannes francejonsson was injured in the middle of the 1972 grand prix season but almost finished the season as the series runner up at the last race for the season in ettelbruck luxembourg jonsson won the first moto and was leading the second moto on the last lap when his bike ran out of fuel causing a dnf instead of being the runner up he now took a fourth place in the 1972 world championship jonsson then won the season ending 1972 transama motocross series held in america winning nine consecutive races at one pointfor the 1973 season jonsson was hired for three years by the yamaha to ride their new motorcycle with its innovative rear suspension using a single shock absorber called a monoshock when he first joined the yamaha team he installed maico front suspension to his bike much to the chagrin of yamaha who then improved their own front forks he had a series of mechanical difficulties and a lot of development in the motorcycle and failed to repeat his performance of the previous years in 1976 he returned to ride for the maico team but broke his collarbone and finished in eighth place in the world championshipafter a few more seasons jonsson retired from competition jonsson was also a member of three victorious swedish motocross des nations teams in 1970 1971 and 1974 and three trophees des nations wins 1964 1966 and 1967 jonsson has won the swedish national championship seven times after his racing career he ran a yamaha dealership in sweden today he lives a retired life in swedenhe was also the author of the technique of motocross a book on advanced riding techniques for racers former dutch world championship motocross competitor gerrit wolsink in an interview with motocross action magazine praised the book strongly saying that even at his level he learned helpful information about techniques to use in various situations,%C3%85ke Jonsson,%C3%85ke Jonsson,2,2,2,user1,p2
Sayyd Abdul Al-Khabyyr,alhajj sayyd abdul alkhabyyr born russell linwood thomas 22 march 1935 muslim named adopted in 1971 is an africanamericancanadian saxophonist soprano alto tenor and baritone clarinetist flautist mostly c flute and piccolo and composerborn in harlem new york as russell linwood thomas abdul alkhabyyr has lived most of his life in montreal quebec he became a naturalized canadian in 1965 and converted to islam in 1971as a young man he studied clarinet and saxophone in new york city with cecil scott and others in 1954 he traveled to montreal with trombonist snub mosley to play in various nightclubs while there he met his future wife and decided to stay working with al cowans 19541955 and then leading his own band 19551957 in ottawa from 1957 to 1970 he was a member at various times of the canadian jazz quartet with richard wyands on piano wyatt ruther on bass and doug johnston on drums the ottawa saxophone quartet and also studiodance bands led by champ champagne buster monroe and others he led his own orchestra at the gatineau country club from 1959 to 1965 except for a short break in 1963 as he recovered from a bout with poliofrom 1970 to 1980 he returned to montreal where he was a teacher in the jazz music department of the universit de montral his pupils included the flautist jennifer waring trumpeter chris place and saxophonists maryjo rudolf richard beaudet and rmi bolduc during that time abdul alkhabyyr also performed in various contemporary music settings such as the smcq ensemble walter boudreaus infonie dionnebrgent trio 3 etc worked in studio and theatre orchestras and was heard regularly playing jazz at his own caf mojodividing his time between montral and new york during the 1980s abdul alkhabyyr had permanently returned to new york by the end of the decade he was a member from 1980 to 1982 and again from 1987 to 1993 of the duke ellington orchestra he toured internationally with dizzy gillespie from 1983 to 1987 appearing alongside gillespie in the feature films a night in havana and a night in chicagohe is the only person in history to ever perform all saxophone parts consecutively in duke ellington orchestra baritone sax 2nd tenor 1st tenor 2nd alto and 1st and lead altohe also recorded and performed in new york with the savoy sultans illinois jacquet the afroasian jazz ensemble and the charli persip superband abdul alkhabyyr also made several appearances accompanied by his sons and other musicians including oliver jones at the festival international de jazz de montral on june 26 2011 a tribute concert was held during the festival to honor abdul alkhabyyrs contributions to the montreal jazz scene,Sayyd Abdul Al-Khabyyr,Sayyd Abdul Al-Khabyyr,5,4,1,user1,p2
